NAME,KEYWORD,S,BETX,ALFX,MUX,BETY,ALFY,MUY,X,PX,Y,PY,T,PT,DX,DPX,DY,DPY,WX,PHIX,DMUX,WY,PHIY,DMUY,DDX,DDPX,DDY,DDPY,R11,R12,R21,R22,ENERGY,L,ANGLE,K0L,K0SL,K1L,K1SL,K2L,K2SL,K3L,K3SL,K4L,K4SL,K5L,K5SL,K6L,K6SL,K7L,K7SL,K8L,K8SL,K9L,K9SL,K10L,K10SL,K11L,K11SL,K12L,K12SL,K13L,K13SL,K14L,K14SL,K15L,K15SL,K16L,K16SL,K17L,K17SL,K18L,K18SL,K19L,K19SL,K20L,K20SL,KSI,HKICK,VKICK,TILT,E1,E2,H1,H2,HGAP,FINT,FINTX,VOLT,LAG,FREQ,HARMON,SLOT_ID,ASSEMBLY_ID,MECH_SEP,V_POS,BBCHARGE,XMA,YMA,SIGX,SIGY,LRAD,PARENT,COMMENTS,RE11,RE12,RE13,RE14,RE15,RE16,RE21,RE22,RE23,RE24,RE25,RE26,RE31,RE32,RE33,RE34,RE35,RE36,RE41,RE42,RE43,RE44,RE45,RE46,RE51,RE52,RE53,RE54,RE55,RE56,RE61,RE62,RE63,RE64,RE65,RE66,KMAX,KMIN,CALIB,POLARITY,ALFA,BETA11,BETA12,BETA13,BETA21,BETA22,BETA23,BETA31,BETA32,BETA33,ALFA11,ALFA12,ALFA13,ALFA21,ALFA22,ALFA23,ALFA31,ALFA32,ALFA33,GAMA11,GAMA12,GAMA13,GAMA21,GAMA22,GAMA23,GAMA31,GAMA32,GAMA33,BETA11P,BETA12P,BETA13P,BETA21P,BETA22P,BETA23P,BETA31P,BETA32P,BETA33P,ALFA11P,ALFA12P,ALFA13P,ALFA21P,ALFA22P,ALFA23P,ALFA31P,ALFA32P,ALFA33P,GAMA11P,GAMA12P,GAMA13P,GAMA21P,GAMA22P,GAMA23P,GAMA31P,GAMA32P,GAMA33P,DISP1,DISP2,DISP3,DISP4,DISP1P,DISP2P,DISP3P,DISP4P,DISP1P2,DISP2P2,DISP3P2,DISP4P2,DISP1P3,DISP2P3,DISP3P3,DISP4P3,MU1,MU2,MU3,SIG11,SIG12,SIG13,SIG14,SIG15,SIG16,SIG21,SIG22,SIG23,SIG24,SIG25,SIG26,SIG31,SIG32,SIG33,SIG34,SIG35,SIG36,SIG41,SIG42,SIG43,SIG44,SIG45,SIG46,SIG51,SIG52,SIG53,SIG54,SIG55,SIG56,SIG61,SIG62,SIG63,SIG64,SIG65,SIG66,N1
%s,%s,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%d,%d,%le,%le,%le,%le,%le,%le,%le,%le,%s,%s,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le,%le
"MACHINE$START","MARKER",0,6.99604924,0.5604385557,0,6.477369538,-0.5467975179,0,0,0,0,0,0,0,0.1371239418,-0.01101729181,0,-0,26.23652466,-0.03854768784,0,25.12072455,0.4386397464,0,-43.83048595,-3.587274029,0,-0,0,0,0,0,298.7070812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARKER","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04966583403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.99604924e-06,-5.604385557e-07,0,0,0,0,-5.604385557e-07,1.878333513e-07,0,0,0,0,0,0,6.477369538e-06,5.467975179e-07,0,0,0,0,5.467975179e-07,2.005424452e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_DRIFT2","DRIFT",3.5,5.373937904,-0.09697817386,0.09668630585,12.76159712,-1.248696076,0.06289247031,0,0,0,0,0,0,0.09856342042,-0.01101729181,0,0,26.83136581,0.1583562575,-2.358220494,25.99959452,0.5634212732,1.483468177,-56.33685748,-3.587274029,0,0,-0,-0,-0,-0,298.7070812,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DRIFT","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04966707598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.373937904e-06,9.697817386e-08,0,0,0,0,9.697817386e-08,1.878333513e-07,0,0,0,0,0,0,1.276159712e-05,1.248696076e-06,0,0,0,0,1.248696076e-06,2.005424452e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"QD","QUADRUPOLE",3.97,6.599139983,-2.671569296,0.1096600471,11.57729256,3.608178473,0.06885644863,0,0,0,0,0,0,0.1026552729,0.02870202524,0,0,26.60814143,0.1854194859,-2.538553681,25.94732371,0.5764005367,1.616265142,-63.4738948,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0.47,0,0,0,-0.4009681338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"QUADRUPOLE","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496779777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.599139983e-06,2.671569296e-06,0,0,0,0,2.671569296e-06,1.233082269e-06,0,0,0,0,0,0,1.157729256e-05,-3.608178473e-06,0,0,0,0,-3.608178473e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O4","DRIFT",4.235,8.101664913,-2.998336098,0.1154294426,9.74999347,3.287289782,0.0728265846,0,0,0,0,0,0,0.1102613096,0.02870202524,0,0,26.21237486,0.1977301183,-2.600612681,25.92575581,0.5868439735,1.700905488,-70.70122157,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DRIFT","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967773273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101664913e-06,2.998336098e-06,0,0,0,0,2.998336098e-06,1.233082269e-06,0,0,0,0,0,0,9.74999347e-06,-3.287289782e-06,0,0,0,0,-3.287289782e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIBPM","DRIFT",4.395,9.09269937,-3.195629261,0.1183965394,8.729059798,3.093545667,0.07558700986,0,0,0,0,0,0,0.1148536336,0.02870202524,0,0,25.97372722,0.2041417107,-2.627885868,25.91584255,0.5938779651,1.757709197,-75.06489057,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DRIFT","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967758482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09269937e-06,3.195629261e-06,0,0,0,0,3.195629261e-06,1.233082269e-06,0,0,0,0,0,0,8.729059798e-06,-3.093545667e-06,0,0,0,0,-3.093545667e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IBPM","MONITOR",4.395,9.09269937,-3.195629261,0.1183965394,8.729059798,3.093545667,0.07558700986,0,0,0,0,0,0,0.1148536336,0.02870202524,0,0,25.97372722,0.2041417107,-2.627885868,25.91584255,0.5938779651,1.757709197,-75.06489057,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MONITOR","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967758482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09269937e-06,3.195629261e-06,0,0,0,0,3.195629261e-06,1.233082269e-06,0,0,0,0,0,0,8.729059798e-06,-3.093545667e-06,0,0,0,0,-3.093545667e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XY_COR","KICKER",4.395,9.09269937,-3.195629261,0.1183965394,8.729059798,3.093545667,0.07558700986,0,0,0,0,0,0,0.1148536336,0.02870202524,0,0,25.97372722,0.2041417107,-2.627885868,25.91584255,0.5938779651,1.757709197,-75.06489057,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KICKER","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967758482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09269937e-06,3.195629261e-06,0,0,0,0,3.195629261e-06,1.233082269e-06,0,0,0,0,0,0,8.729059798e-06,-3.093545667e-06,0,0,0,0,-3.093545667e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DIBPM","DRIFT",4.555,10.14686764,-3.392922424,0.1210477718,7.770124243,2.899801552,0.07867922514,0,0,0,0,0,0,0.1194459576,0.02870202524,0,0,25.73531762,0.2099304238,-2.649545593,25.90827348,0.6015765578,1.819250492,-79.42855956,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DRIFT","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967743691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014686764e-05,3.392922424e-06,0,0,0,0,3.392922424e-06,1.233082269e-06,0,0,0,0,0,0,7.770124243e-06,-2.899801552e-06,0,0,0,0,-2.899801552e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O4","DRIFT",4.82,12.03170973,-3.719689225,0.1248652624,6.318264923,2.578912861,0.08470005979,0,0,0,0,0,0,0.1270519943,0.02870202524,0,0,25.34099332,0.218390865,-2.676190803,25.90089897,0.6161275712,1.93240305,-86.65588633,-27.23639351,0,0,-0,-0,-0,-0,298.7070812,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DRIFT","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04967719193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.203170973e-05,3.719689225e-06,0,0,0,0,3.719689225e-06,1.233082269e-06,0,0,0,0,0,0,6.318264923e-06,-2.578912861e-06,0,0,0,0,-2.578912861e-06,1.21090072e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
