@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.49.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "BOOSTER$START"     "MARKER"                             0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_0"           "DRIFT"                            3.5                3.5                  0                  0                  0                3.5                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.1.ERR"         "MULTIPOLE"                        3.5                  0                  0                  0                  0                3.5                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.1"             "QUADRUPOLE"                      3.97               0.47                  0                  0                  0               3.97                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.1.ERR"         "MULTIPOLE"                       3.97                  0                  0                  0                  0               3.97                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV1.1"           "VMONITOR"                       4.235              0.265                  0                  0                  0              4.235                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST1.1"             "KICKER"                         4.555               0.32                  0                  0                  0              4.555                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH1.1"           "HMONITOR"                        4.82              0.265                  0                  0                  0               4.82                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.1.ERR"         "MULTIPOLE"                       4.82                  0                  0                  0                  0               4.82                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.1"             "QUADRUPOLE"                      5.29               0.47                  0                  0                  0               5.29                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.1.ERR"         "MULTIPOLE"                       5.29                  0                  0                  0                  0               5.29                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_1"           "DRIFT"                           6.24               0.95                  0                  0                  0               6.24                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.1.ERR"         "MULTIPOLE"                       6.24                  0                  0                  0                  0               6.24                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.1.ERR"        "KICKER"                          6.24                  0                  0                  0                  0               6.24                  0                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.1"             "SBEND"                           8.44                2.2       0.1570796327      -0.1724326078                  0        8.430964018      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.1.ERR"        "KICKER"                          8.44                  0                  0      -0.1724326078                  0        8.430964018      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.1.ERR"         "MULTIPOLE"                       8.44                  0                  0      -0.1724326078                  0        8.430964018      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_2"           "DRIFT"                           9.14                0.7                  0      -0.2819367333                  0        9.122345856      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.1.ERR"         "MULTIPOLE"                       9.14                  0                  0      -0.2819367333                  0        9.122345856      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.1.ERR"        "KICKER"                          9.14                  0                  0      -0.2819367333                  0        9.122345856      -0.1570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.1"             "SBEND"                          11.34                2.2       0.1570796327      -0.7949886935                  0        11.25936107      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2B.1.ERR"        "KICKER"                         11.34                  0                  0      -0.7949886935                  0        11.25936107      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2B.1.ERR"         "MULTIPOLE"                      11.34                  0                  0      -0.7949886935                  0        11.25936107      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_3"           "DRIFT"                          12.29               0.95                  0       -1.088554838                  0        12.16286476      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.1.ERR"         "MULTIPOLE"                      12.29                  0                  0       -1.088554838                  0        12.16286476      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.1"             "QUADRUPOLE"                     12.76               0.47                  0       -1.233792826                  0        12.60986132      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD2.1.ERR"         "MULTIPOLE"                      12.76                  0                  0       -1.233792826                  0        12.60986132      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV2.1"           "VMONITOR"                      13.025              0.265                  0       -1.315682329                  0         12.8618913      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST2.1"             "KICKER"                        13.345               0.32                  0       -1.414567767                  0        13.16622938      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH2.1"           "HMONITOR"                       13.61              0.265                  0       -1.496457271                  0        13.41825936      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.1.ERR"         "MULTIPOLE"                      13.61                  0                  0       -1.496457271                  0        13.41825936      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.1"             "QUADRUPOLE"                     14.08               0.47                  0       -1.641695258                  0        13.86525592      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF2.1.ERR"         "MULTIPOLE"                      14.08                  0                  0       -1.641695258                  0        13.86525592      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_4"           "DRIFT"                         14.395              0.315                  0       -1.739035611                  0        14.16483873      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "MC3.1"             "SEXTUPOLE"                     14.715               0.32                  0        -1.83792105                  0        14.46917681      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_5"           "DRIFT"                          15.03              0.315                  0       -1.935261403                  0        14.76875961      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.1.ERR"         "MULTIPOLE"                      15.03                  0                  0       -1.935261403                  0        14.76875961      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.1.ERR"        "KICKER"                         15.03                  0                  0       -1.935261403                  0        14.76875961      -0.3141592654                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.1"             "SBEND"                          17.23                2.2       0.1570796327       -2.776299674                  0        16.79920561       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3A.1.ERR"        "KICKER"                         17.23                  0                  0       -2.776299674                  0        16.79920561       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3A.1.ERR"         "MULTIPOLE"                      17.23                  0                  0       -2.776299674                  0        16.79920561       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_6"           "DRIFT"                          17.93                0.7                  0       -3.094093023                  0        17.42291018       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.1.ERR"         "MULTIPOLE"                      17.93                  0                  0       -3.094093023                  0        17.42291018       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.1.ERR"        "KICKER"                         17.93                  0                  0       -3.094093023                  0        17.42291018       -0.471238898                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.1"             "SBEND"                          20.13                2.2       0.1570796327       -4.242408451                  0        19.29679065      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM3B.1.ERR"        "KICKER"                         20.13                  0                  0       -4.242408451                  0        19.29679065      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M3B.1.ERR"         "MULTIPOLE"                      20.13                  0                  0       -4.242408451                  0        19.29679065      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_7"           "DRIFT"                          21.08               0.95                  0       -4.800804441                  0        20.06535679      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.1.ERR"         "MULTIPOLE"                      21.08                  0                  0       -4.800804441                  0        20.06535679      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.1"             "QUADRUPOLE"                     21.55               0.47                  0       -5.077063509                  0        20.44559478      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD3.1.ERR"         "MULTIPOLE"                      21.55                  0                  0       -5.077063509                  0        20.44559478      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV3.1"           "VMONITOR"                      21.815              0.265                  0       -5.232826601                  0        20.65998428      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST3.1"             "KICKER"                        22.135               0.32                  0       -5.420917882                  0        20.91886972      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH3.1"           "HMONITOR"                        22.4              0.265                  0       -5.576680974                  0        21.13325923      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.1.ERR"         "MULTIPOLE"                       22.4                  0                  0       -5.576680974                  0        21.13325923      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.1"             "QUADRUPOLE"                     22.87               0.47                  0       -5.852940042                  0        21.51349721      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF3.1.ERR"         "MULTIPOLE"                      22.87                  0                  0       -5.852940042                  0        21.51349721      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_8"           "DRIFT"                          23.82               0.95                  0       -6.411336032                  0        22.28206336      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.1.ERR"         "MULTIPOLE"                      23.82                  0                  0       -6.411336032                  0        22.28206336      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.1.ERR"        "KICKER"                         23.82                  0                  0       -6.411336032                  0        22.28206336      -0.6283185307                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.1"             "SBEND"                          26.02                2.2       0.1570796327        -7.83865328                  0        23.95323714      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4A.1.ERR"        "KICKER"                         26.02                  0                  0        -7.83865328                  0        23.95323714      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4A.1.ERR"         "MULTIPOLE"                      26.02                  0                  0        -7.83865328                  0        23.95323714      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_9"           "DRIFT"                          26.72                0.7                  0       -8.333628027                  0        24.44821188      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.1.ERR"         "MULTIPOLE"                      26.72                  0                  0       -8.333628027                  0        24.44821188      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4B.1.ERR"        "KICKER"                         26.72                  0                  0       -8.333628027                  0        24.44821188      -0.7853981634                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.1"             "SBEND"                          28.92                2.2       0.1570796327       -10.00480181                  0        25.87552913      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM4B.1.ERR"        "KICKER"                         28.92                  0                  0       -10.00480181                  0        25.87552913      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M4B.1.ERR"         "MULTIPOLE"                      28.92                  0                  0       -10.00480181                  0        25.87552913      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_10"          "DRIFT"                         29.235              0.315                  0       -10.25964216                  0        26.06068149      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "MC4.1"             "SEXTUPOLE"                     29.555               0.32                  0        -10.5185276                  0        26.24877277      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_11"          "DRIFT"                          29.87              0.315                  0       -10.77336795                  0        26.43392512      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD4.1.ERR"         "MULTIPOLE"                      29.87                  0                  0       -10.77336795                  0        26.43392512      -0.9424777961                  0                  0                  0                  0          0          0                  0                  0 ""                 
